Linux 3.10.0-229.el7.x86_64 (ip-10-234-134-85.us-west-1.compute.internal) 	09/01/2015 	_x86_64_	(16 CPU)

05:11:10 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
05:12:10 PM     all      0.75      0.00      0.64      1.32      0.10     97.19
05:13:10 PM     all      0.11      0.00      0.83      1.66      0.13     97.27
05:14:10 PM     all      0.18      0.00      1.13      1.81      0.17     96.71
05:15:10 PM     all      1.14      0.00      1.60      1.56      0.13     95.57
05:16:10 PM     all      1.35      0.00      1.15      2.48      0.10     94.91
05:17:10 PM     all      0.42      0.00      0.61      3.55      0.12     95.31
05:18:10 PM     all      0.34      0.00      0.61      3.85      0.10     95.10
05:19:10 PM     all      1.78      0.00      2.98      1.20      0.06     93.98
05:20:10 PM     all      4.90      0.00      1.60      0.04      0.02     93.44
05:21:10 PM     all      5.22      0.00      1.46      0.06      0.07     93.19
05:22:10 PM     all      5.15      0.00      1.32      0.10      0.05     93.37
05:23:10 PM     all      5.29      0.00      1.37      0.05      0.06     93.22
05:24:10 PM     all      5.28      0.00      1.51      0.03      0.04     93.14
05:25:10 PM     all      5.34      0.00      1.55      0.01      0.03     93.07
05:26:10 PM     all      5.31      0.00      1.50      0.03      0.04     93.12
05:27:10 PM     all      6.15      0.00      0.37      0.00      0.00     93.48
05:28:10 PM     all      0.69      0.00      0.78      1.29      0.13     97.11
05:29:10 PM     all      0.30      0.00      0.94      1.55      0.15     97.06
05:30:10 PM     all      0.75      0.00      1.18      1.58      0.14     96.36
05:31:10 PM     all      2.26      0.00      1.16      1.35      0.06     95.16
05:32:10 PM     all      4.64      0.00      1.73      0.04      0.01     93.59
05:33:10 PM     all      1.99      0.00      1.93      1.55      0.04     94.49
05:34:10 PM     all      4.00      0.00      1.79      0.31      0.03     93.86
05:35:10 PM     all      4.95      0.00      1.25      0.22      0.03     93.56
05:36:10 PM     all      5.03      0.00      1.40      0.13      0.05     93.39
05:37:10 PM     all      4.72      0.00      1.17      0.30      0.02     93.79
05:38:10 PM     all      4.38      0.00      1.12      0.50      0.03     93.96
05:39:10 PM     all      4.72      0.00      1.22      0.35      0.04     93.68
05:40:10 PM     all      5.15      0.00      1.66      0.05      0.04     93.10
05:41:10 PM     all      4.89      0.00      1.28      0.28      0.05     93.50
05:42:10 PM     all      0.01      0.00      0.27      3.58      0.14     95.99
05:43:10 PM     all      0.01      0.00      0.30      3.74      0.14     95.81
05:44:10 PM     all      0.85      0.00      0.67      2.66      0.13     95.69
05:45:10 PM     all      0.04      0.00      0.79      1.78      0.18     97.21
05:46:10 PM     all      0.05      0.00      0.83      1.71      0.19     97.22
05:47:10 PM     all      0.73      0.00      1.09      1.57      0.17     96.44
05:48:10 PM     all      5.90      0.00      0.49      0.00      0.00     93.61
05:49:10 PM     all      6.05      0.00      0.37      0.01      0.00     93.58
05:50:10 PM     all      6.09      0.00      0.28      0.00      0.00     93.63
05:51:10 PM     all      5.61      0.00      0.76      0.00      0.00     93.63
05:52:10 PM     all      5.28      0.00      1.15      0.01      0.04     93.52
05:53:10 PM     all      4.93      0.00      1.87      0.05      0.12     93.03
05:54:10 PM     all      4.90      0.00      1.94      0.08      0.10     92.98
05:55:10 PM     all      1.89      0.00      0.84      2.39      0.12     94.76
05:56:10 PM     all      5.61      0.00      1.07      0.00      0.02     93.29
05:57:10 PM     all      1.05      0.00      2.27      1.86      0.19     94.64
05:58:10 PM     all      0.02      0.00      0.74      3.32      0.18     95.74
05:59:10 PM     all      0.02      0.00      0.61      3.35      0.16     95.85
06:00:10 PM     all      0.04      0.00      0.64      3.24      0.18     95.90
06:01:10 PM     all      2.48      0.00      2.26      1.16      0.05     94.05
06:02:10 PM     all      0.04      0.00      0.27      4.05      0.10     95.54
06:03:10 PM     all      0.04      0.00      0.29      3.85      0.13     95.69
06:04:10 PM     all      0.02      0.00      0.29      3.62      0.15     95.91
06:05:10 PM     all      0.02      0.00      0.28      3.56      0.16     95.98
06:06:10 PM     all      0.04      0.00      0.30      3.73      0.13     95.80
06:07:10 PM     all      3.00      0.00      1.50      0.94      0.04     94.52
06:08:10 PM     all      3.93      0.00      2.24      0.09      0.01     93.73
06:09:10 PM     all      5.69      0.00      0.45      0.13      0.03     93.70
06:10:10 PM     all      5.69      0.00      0.47      0.13      0.03     93.68
06:11:10 PM     all      5.72      0.00      0.51      0.11      0.04     93.63
06:12:10 PM     all      5.73      0.00      0.51      0.10      0.04     93.63
06:13:10 PM     all      5.62      0.00      0.49      0.15      0.03     93.71
06:14:10 PM     all      5.60      0.00      0.48      0.17      0.03     93.73
06:15:10 PM     all      5.72      0.00      0.50      0.10      0.03     93.65
06:16:10 PM     all      5.72      0.00      0.55      0.09      0.04     93.60
06:17:10 PM     all      5.92      0.00      0.52      0.02      0.04     93.50
06:18:10 PM     all      2.86      0.00      0.80      2.05      0.08     94.22
06:19:10 PM     all      0.01      0.00      0.29      4.11      0.14     95.45
06:20:10 PM     all      0.01      0.00      0.33      4.21      0.14     95.30
06:21:10 PM     all      0.01      0.00      0.30      4.25      0.15     95.29
06:22:10 PM     all      2.14      0.00      2.24      1.35      0.14     94.13
06:23:10 PM     all      2.30      0.00      2.46      1.00      0.13     94.11
06:24:10 PM     all      3.33      0.00      1.55      0.81      0.10     94.21
06:25:10 PM     all      2.00      0.00      1.17      1.73      0.07     95.04
06:26:10 PM     all      0.57      0.00      0.85      2.58      0.11     95.89
06:27:10 PM     all      0.03      0.00      0.46      2.63      0.14     96.74
06:28:10 PM     all      0.03      0.00      0.45      2.71      0.14     96.67
06:29:10 PM     all      4.66      0.00      0.68      0.56      0.03     94.06
06:30:10 PM     all      5.73      0.00      0.71      0.01      0.00     93.54
06:31:10 PM     all      2.56      0.00      0.56      1.87      0.05     94.96
06:32:10 PM     all      0.09      0.00      0.34      3.38      0.10     96.08
06:33:10 PM     all      0.10      0.00      0.35      3.43      0.10     96.02
06:34:10 PM     all      0.04      0.00      0.32      3.45      0.10     96.08
06:35:10 PM     all      0.06      0.00      0.32      3.22      0.12     96.28
