Linux 3.10.0-229.el7.x86_64 (ip-10-234-134-85.us-west-1.compute.internal) 	09/01/2015 	_x86_64_	(16 CPU)

03:26:52 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
03:27:52 PM     all     13.82      0.00      4.24      1.04      0.08     80.82
03:28:52 PM     all     19.30      0.00      7.97      1.42      0.06     71.25
03:29:52 PM     all     39.69      0.00      5.38      1.29      0.05     53.59
03:30:52 PM     all     19.43      0.00      3.82      1.33      0.05     75.36
03:31:52 PM     all     13.84      0.00      3.54      0.88      0.05     81.69
03:32:52 PM     all     12.26      0.00      3.63      1.82      0.05     82.24
03:33:52 PM     all     13.87      0.00      2.94      0.55      0.03     82.61
03:34:52 PM     all     11.30      0.00      2.92      0.81      0.04     84.94
03:35:52 PM     all      8.40      0.00      2.08      0.55      0.03     88.94
03:36:52 PM     all      8.60      0.00      2.79      0.61      0.03     87.97
03:37:52 PM     all      9.03      0.00      3.33      1.83      0.05     85.76
03:38:52 PM     all      9.84      0.00      2.58      0.43      0.02     87.13
03:39:52 PM     all     11.23      0.00      1.57      0.26      0.01     86.93
03:40:52 PM     all      9.95      0.00      2.44      0.47      0.02     87.11
03:41:52 PM     all     11.54      0.00      1.23      0.24      0.01     86.98
03:42:52 PM     all     11.67      0.00      0.99      0.34      0.01     87.00
03:43:52 PM     all     10.64      0.00      2.01      0.57      0.02     86.76
03:44:52 PM     all      9.03      0.00      1.64      0.29      0.01     89.03
03:45:52 PM     all      5.47      0.00      0.85      0.22      0.01     93.45
03:46:52 PM     all      5.40      0.00      0.97      0.27      0.01     93.35
03:47:52 PM     all      5.46      0.00      1.05      0.33      0.01     93.15
03:48:52 PM     all      5.39      0.00      0.94      0.27      0.01     93.39
03:49:52 PM     all      5.45      0.00      0.93      0.30      0.01     93.30
03:50:52 PM     all      5.40      0.00      0.94      0.27      0.01     93.37
03:51:52 PM     all      5.42      0.00      0.92      0.18      0.01     93.47
03:52:52 PM     all      5.43      0.00      1.03      0.33      0.02     93.19
03:53:52 PM     all      5.37      0.00      0.94      0.29      0.01     93.38
03:54:52 PM     all      5.44      0.00      0.88      0.26      0.01     93.41
03:55:52 PM     all      5.33      0.00      0.97      0.36      0.01     93.33
03:56:52 PM     all      5.24      0.00      1.05      0.35      0.01     93.34
03:57:52 PM     all      5.44      0.00      1.04      0.24      0.01     93.26
03:58:52 PM     all      5.40      0.00      1.01      0.29      0.01     93.29
03:59:52 PM     all      5.36      0.00      1.00      0.25      0.01     93.37
04:00:52 PM     all      5.24      0.00      1.01      0.37      0.01     93.36
04:01:52 PM     all      5.29      0.00      1.02      0.37      0.01     93.31
04:02:52 PM     all      5.42      0.00      1.03      0.28      0.01     93.26
04:03:52 PM     all      5.23      0.00      1.14      0.30      0.01     93.33
04:04:52 PM     all      5.28      0.00      1.10      0.30      0.01     93.32
04:05:52 PM     all      8.45      0.00      8.02      0.19      0.08     83.26
04:06:52 PM     all     12.92      0.00     11.75      0.45      0.14     74.74
04:07:52 PM     all     24.18      0.00      5.97      0.83      0.06     68.95
04:08:52 PM     all     29.07      0.00      3.17      0.79      0.03     66.95
04:09:52 PM     all     29.06      0.00      3.39      0.65      0.02     66.89
04:10:52 PM     all     29.06      0.00      3.20      0.63      0.02     67.09
04:11:52 PM     all     29.00      0.00      3.13      0.73      0.02     67.12
04:12:52 PM     all     29.17      0.00      3.17      0.67      0.02     66.97
04:13:52 PM     all     29.06      0.00      3.28      0.64      0.02     67.00
04:14:52 PM     all     28.98      0.00      3.24      0.72      0.02     67.05
04:15:52 PM     all     29.82      0.00      2.23      0.56      0.01     67.38
04:16:52 PM     all     29.95      0.00      2.04      0.26      0.01     67.74
04:17:52 PM     all     27.17      0.00      3.94      1.04      0.03     67.82
04:18:52 PM     all     20.27      0.00      4.38      1.14      0.03     74.19
04:19:52 PM     all     15.36      0.00      3.22      0.98      0.03     80.42
04:20:52 PM     all     12.01      0.00      0.76      0.07      0.01     87.16
04:21:52 PM     all     12.00      0.00      0.77      0.06      0.01     87.17
04:22:52 PM     all     11.96      0.00      0.76      0.05      0.01     87.21
04:23:52 PM     all     11.96      0.00      0.76      0.05      0.01     87.22
04:24:52 PM     all     12.10      0.00      0.78      0.05      0.00     87.06
04:25:52 PM     all     12.07      0.00      0.66      0.05      0.00     87.22
04:26:52 PM     all     12.05      0.00      0.71      0.06      0.00     87.17
04:27:52 PM     all     12.05      0.00      0.76      0.05      0.00     87.13
04:28:52 PM     all     12.18      0.00      0.59      0.04      0.00     87.19
04:29:52 PM     all     12.20      0.00      0.57      0.08      0.01     87.14
04:30:52 PM     all     11.93      0.00      0.99      0.07      0.01     87.00
04:31:52 PM     all     11.88      0.00      1.08      0.18      0.01     86.85
04:32:52 PM     all     11.85      0.00      1.12      0.22      0.01     86.80
04:33:52 PM     all     11.89      0.00      1.00      0.15      0.01     86.95
04:34:52 PM     all     11.87      0.00      1.18      0.21      0.01     86.74
04:35:52 PM     all     11.90      0.00      1.00      0.13      0.01     86.96
04:36:52 PM     all     11.90      0.00      1.02      0.14      0.01     86.93
04:37:52 PM     all     11.89      0.00      1.06      0.14      0.01     86.90
04:38:52 PM     all      6.52      0.00      0.82      0.10      0.00     92.56
04:39:52 PM     all      6.19      0.00      0.18      0.01      0.00     93.62
04:40:52 PM     all      6.19      0.00      0.18      0.01      0.00     93.62
04:41:52 PM     all      6.19      0.00      0.17      0.01      0.00     93.62
04:42:52 PM     all      6.20      0.00      0.18      0.01      0.00     93.61
04:43:52 PM     all      6.19      0.00      0.18      0.01      0.00     93.62
04:44:52 PM     all      6.04      0.00      0.33      0.02      0.00     93.62
04:45:52 PM     all      5.94      0.00      0.51      0.12      0.01     93.43
04:46:52 PM     all      5.93      0.00      0.47      0.10      0.01     93.50
04:47:52 PM     all      5.95      0.00      0.44      0.10      0.00     93.51
04:48:52 PM     all      5.96      0.00      0.43      0.09      0.01     93.51
04:49:52 PM     all      5.09      0.00      1.23      0.16      0.02     93.50
04:50:52 PM     all      3.69      0.00      2.97      0.01      0.04     93.29
04:51:52 PM     all      4.78      0.00      1.75      0.00      0.00     93.47
04:52:52 PM     all      5.90      0.00      0.52      0.04      0.00     93.54
04:53:52 PM     all      5.91      0.00      0.53      0.06      0.00     93.51
04:54:52 PM     all      5.93      0.00      0.49      0.04      0.00     93.53
04:55:52 PM     all      5.87      0.00      0.55      0.03      0.00     93.55
04:56:52 PM     all      5.86      0.00      0.57      0.04      0.00     93.53
04:57:52 PM     all      5.86      0.00      0.57      0.04      0.00     93.52
04:58:52 PM     all      5.87      0.00      0.58      0.04      0.00     93.51
04:59:52 PM     all      5.99      0.00      0.46      0.04      0.00     93.51
05:00:52 PM     all      6.13      0.00      0.35      0.09      0.00     93.43
05:01:52 PM     all      5.23      0.00      1.61      0.17      0.01     92.98
05:02:52 PM     all      7.21      0.00      2.36      0.48      0.02     89.92
05:03:52 PM     all     10.70      0.00      1.86      0.00      0.00     87.44
05:04:52 PM     all     10.66      0.00      1.89      0.00      0.00     87.45
05:05:52 PM     all      9.27      0.00      1.66      0.22      0.02     88.83
05:06:52 PM     all      3.28      0.00      3.94      2.27      0.07     90.45
05:07:52 PM     all      2.91      0.00      3.78      3.31      0.09     89.91
05:08:52 PM     all      0.56      0.00      5.10      1.88      0.14     92.34
05:09:52 PM     all      0.88      0.00      1.47      2.85      0.11     94.69
05:10:52 PM     all      2.88      0.00      0.69      1.96      0.07     94.40
