task_name,s_time,e_time,diff_time,seconds
LOAD,2015-09-01 15:26:55.831847,2015-09-01 17:11:04.257499,01:44:08.425652,6248.425652
PERF.POWER.RF1,2015-09-01 17:11:10.250789,2015-09-01 17:15:03.507157,00:03:53.256368,233.256368
PERF.POWER.Q14,2015-09-01 17:15:03.518901,2015-09-01 17:18:22.504889,00:03:18.985988,198.985988
PERF.POWER.Q2,2015-09-01 17:18:22.518503,2015-09-01 17:19:21.577046,00:00:59.058543,59.058543
PERF.POWER.Q9,2015-09-01 17:19:21.593312,2015-09-01 17:27:15.562692,00:07:53.96938,473.96938
PERF.POWER.Q20,2015-09-01 17:27:15.593894,2015-09-01 17:30:55.581784,00:03:39.98789,219.98789
PERF.POWER.Q6,2015-09-01 17:30:55.594008,2015-09-01 17:33:14.585424,00:02:18.991416,138.991416
PERF.POWER.Q17,2015-09-01 17:33:14.599253,2015-09-01 17:33:35.163969,00:00:20.564716,20.564716
PERF.POWER.Q18,2015-09-01 17:33:35.175126,2015-09-01 17:40:44.17036,00:07:08.995234,428.995234
PERF.POWER.Q8,2015-09-01 17:40:44.197259,2015-09-01 17:47:01.197409,00:06:17.00015,377.00015
PERF.POWER.Q21,2015-09-01 17:47:01.211467,2015-09-01 17:47:02.46493,00:00:01.253463,1.253463
PERF.POWER.Q13,2015-09-01 17:47:02.476241,2015-09-01 17:50:47.961699,00:03:45.485458,225.485458
PERF.POWER.Q3,2015-09-01 17:50:47.973539,2015-09-01 17:54:27.31638,00:03:39.342841,219.342841
PERF.POWER.Q22,2015-09-01 17:54:27.33058,2015-09-01 17:54:30.604118,00:00:03.273538,3.273538
PERF.POWER.Q16,2015-09-01 17:54:30.61563,2015-09-01 17:56:07.117916,00:01:36.502286,96.502286
PERF.POWER.Q4,2015-09-01 17:56:07.129606,2015-09-01 18:00:09.519187,00:04:02.389581,242.389581
PERF.POWER.Q11,2015-09-01 18:00:09.53763,2015-09-01 18:00:50.068578,00:00:40.530948,40.530948
PERF.POWER.Q15,2015-09-01 18:00:50.080421,2015-09-01 18:07:59.866323,00:07:09.785902,429.785902
PERF.POWER.Q1,2015-09-01 18:07:59.878088,2015-09-01 18:17:26.810638,00:09:26.93255,566.93255
PERF.POWER.Q10,2015-09-01 18:17:26.822687,2015-09-01 18:23:55.160511,00:06:28.337824,388.337824
PERF.POWER.Q19,2015-09-01 18:23:55.176629,2015-09-01 18:24:17.534634,00:00:22.358005,22.358005
PERF.POWER.Q5,2015-09-01 18:24:17.545967,2015-09-01 18:28:22.396622,00:04:04.850655,244.850655
PERF.POWER.Q7,2015-09-01 18:28:22.408605,2015-09-01 18:39:51.536679,00:11:29.128074,689.128074
PERF.POWER.Q12,2015-09-01 18:39:51.554647,2015-09-01 18:42:39.049828,00:02:47.495181,167.495181
PERF.POWER.RF2,2015-09-01 18:42:39.068711,2015-09-01 18:47:02.145754,00:04:23.077043,263.077043
PERF.POWER,2015-09-01 17:11:10.242134,2015-09-01 18:47:02.152595,01:35:51.910461,5751.910461
